stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
997294,99999,2019,05,25,63.5,15,9999.9,0,1021.8,15,9999.9,0,999.9,0,6.1,15,12.0,999.9,68.5,*,55.4,*,0.0,I,999.9,0,0,0,0,0,0
998235,99999,2019,06,17,66.0,12,9999.9,0,1015.8,12,9999.9,0,999.9,0,0.0,12,999.9,999.9,71.6,*,54.9,*,0.0,I,999.9,0,0,0,0,0,0
997738,99999,2019,02,04,24.7,14,9999.9,0,1008.4,11,9999.9,0,999.9,0,10.4,11,15.9,999.9,28.4,*,16.3,*,0.0,I,999.9,0,0,0,0,0,0
012380,99999,2019,06,06,50.2,14,9999.9,0,1018.3,14,902.9,14,999.9,0,4.3,14,13.6,999.9,61.9,*,41.0,,0.02,G,999.9,0,0,0,0,0,0
722284,03892,2019,03,03,60.1,24,9999.9,0,1018.5,14,985.5,23,8.6,24,5.6,24,21.0,35.9,66.9,,53.1,,0.0,G,999.9,0,1,0,0,1,0
917540,99999,2019,07,17,81.1,12,9999.9,0,1009.2,12,1004.3,9,999.9,0,3.4,12,5.6,15.3,87.4,,75.0,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2019,03,13,15.1,14,9999.9,0,999.3,14,914.0,14,999.9,0,13.9,14,17.5,21.4,18.9,,13.1,*,0.0,G,28.7,0,0,0,0,0,0
998209,99999,2019,06,15,70.1,15,9999.9,0,1022.4,15,9999.9,0,999.9,0,6.5,15,11.1,999.9,73.8,*,68.5,*,0.0,I,999.9,0,0,0,0,0,0
998341,99999,2019,06,15,51.7,14,9999.9,0,1018.5,14,9999.9,0,999.9,0,0.1,14,1.9,999.9,55.9,*,50.2,*,0.0,I,999.9,0,0,0,0,0,0
041680,99999,2019,01,11,31.7,15,9999.9,0,1007.3,15,9999.9,0,999.9,0,16.1,15,27.0,999.9,35.6,,27.9,,0.0,I,999.9,0,0,0,0,0,0
041680,99999,2019,04,30,44.5,15,9999.9,0,1024.0,15,9999.9,0,999.9,0,6.6,15,12.0,999.9,53.1,,36.9,*,0.0,I,999.9,0,0,0,0,0,0
041040,99999,2019,06,13,50.1,12,9999.9,0,1027.9,12,9999.9,0,999.9,0,6.4,12,11.1,999.9,52.7,,47.7,,0.0,I,999.9,0,0,0,0,0,0
997287,99999,2019,06,17,64.1,14,9999.9,0,1011.9,14,9999.9,0,999.9,0,5.6,14,9.9,999.9,74.3,*,49.3,*,0.0,I,999.9,0,0,0,0,0,0
998012,99999,2019,03,04,13.1,24,9999.9,0,1021.4,15,9999.9,0,999.9,0,14.5,15,18.1,999.9,19.8,*,7.7,*,0.0,I,999.9,0,0,0,0,0,0
994973,99999,2019,01,28,0.2,14,9999.9,0,1014.0,9,9999.9,0,999.9,0,8.7,9,14.8,999.9,13.1,*,9999.9,,0.0,I,999.9,0,0,0,0,0,0
994800,99999,2019,06,17,82.0,12,9999.9,0,1011.1,12,9999.9,0,999.9,0,12.3,12,20.0,999.9,86.4,*,76.5,*,0.0,I,999.9,0,0,0,0,0,0
997701,99999,2019,07,31,85.1,12,9999.9,0,1016.7,12,9999.9,0,999.9,0,0.0,12,999.9,999.9,88.3,*,76.5,*,0.0,I,999.9,0,0,0,0,0,0
994013,99999,2019,03,22,50.5,12,9999.9,0,1015.1,12,9999.9,0,999.9,0,6.5,12,8.9,999.9,52.7,*,47.8,*,0.0,I,999.9,0,0,0,0,0,0
998487,99999,2019,06,17,77.3,11,9999.9,0,1012.0,11,9999.9,0,999.9,0,9.0,11,20.0,999.9,84.9,*,71.2,*,0.0,I,999.9,0,0,0,0,0,0
711070,99999,2019,01,14,47.1,9,9999.9,0,1017.2,9,1006.6,8,999.9,0,9.5,9,15.9,999.9,49.1,*,46.2,*,0.01,G,999.9,0,0,0,0,0,0
014400,99999,2019,01,31,14.8,24,9999.9,0,1004.5,9,882.1,14,999.9,0,25.2,24,35.0,39.2,17.1,*,12.7,*,0.0,I,999.9,0,0,0,0,0,0
869680,99999,2019,02,22,56.2,15,9999.9,0,1018.7,15,822.9,15,999.9,0,15.2,15,22.3,30.1,67.8,,52.0,,0.0,I,999.9,0,0,0,0,0,0
028000,99999,2019,07,22,71.0,13,9999.9,0,1014.5,12,1011.9,12,999.9,0,999.9,0,999.9,999.9,74.8,*,64.4,*,0.0,I,999.9,0,0,0,0,0,0
997283,99999,2019,06,04,63.3,15,9999.9,0,1017.6,15,9999.9,0,999.9,0,6.1,15,12.0,999.9,68.7,*,49.5,*,0.0,I,999.9,0,0,0,0,0,0
041040,99999,2019,06,14,51.5,14,9999.9,0,1020.0,14,9999.9,0,999.9,0,14.4,14,20.0,999.9,58.3,,46.0,,0.0,I,999.9,0,0,0,0,0,0
917400,99999,2019,02,25,77.4,14,9999.9,0,1000.4,14,995.2,14,999.9,0,4.7,14,7.8,999.9,79.2,*,75.7,*,3.21,G,999.9,0,0,0,0,0,0
997989,99999,2019,01,18,29.6,11,9999.9,0,1017.2,11,9999.9,0,999.9,0,9.0,11,22.9,999.9,33.3,*,26.2,*,0.0,I,999.9,0,0,0,0,0,0
998435,99999,2019,06,15,60.6,14,9999.9,0,1011.9,14,9999.9,0,999.9,0,0.0,14,999.9,999.9,66.9,*,57.0,*,0.0,I,999.9,0,0,0,0,0,0
994390,99999,2019,03,13,74.1,10,9999.9,0,1020.0,10,9999.9,0,999.9,0,18.9,10,20.0,999.9,75.0,*,73.6,*,0.0,I,999.9,0,0,0,0,0,0
997742,99999,2019,08,24,86.1,10,9999.9,0,1015.2,10,9999.9,0,999.9,0,7.0,10,12.0,999.9,88.0,*,85.3,*,0.0,I,999.9,0,0,0,0,0,0
847610,99999,2019,03,14,62.5,14,9999.9,0,1015.2,14,855.8,14,999.9,0,1.5,14,7.8,999.9,73.8,*,59.0,*,0.0,I,999.9,0,0,0,0,0,0
994024,99999,2019,03,13,41.9,14,9999.9,0,1018.1,14,9999.9,0,999.9,0,7.7,14,19.0,999.9,47.1,*,34.0,*,0.0,I,999.9,0,0,0,0,0,0
997360,99999,2019,06,17,81.8,12,9999.9,0,1013.9,12,9999.9,0,999.9,0,4.0,12,8.9,999.9,87.8,*,76.5,*,0.0,I,999.9,0,0,0,0,0,0
619760,99999,2019,08,25,76.9,11,9999.9,0,1019.9,11,1018.4,11,999.9,0,16.6,11,18.8,27.6,81.7,,74.1,,0.0,I,999.9,0,0,0,0,0,0
998012,99999,2019,03,08,25.6,24,9999.9,0,1024.1,14,9999.9,0,999.9,0,2.6,14,6.0,999.9,36.5,*,19.9,*,0.0,I,999.9,0,0,0,0,0,0
701333,26643,2019,03,02,30.3,23,9999.9,0,1020.0,14,1020.0,23,8.8,23,8.5,23,15.9,21.0,33.1,,25.0,,0.0,G,999.9,0,0,1,0,0,0
917370,99999,2019,01,06,78.5,14,9999.9,0,997.4,14,971.0,14,999.9,0,14.0,14,17.5,999.9,79.9,*,76.8,*,0.04,G,999.9,0,0,0,0,0,0
917370,99999,2019,04,27,78.3,15,9999.9,0,1000.7,15,974.2,15,999.9,0,4.3,9,9.7,999.9,84.4,*,73.9,*,0.02,G,999.9,0,0,0,0,0,0
998229,99999,2019,05,30,79.6,12,9999.9,0,1014.8,12,9999.9,0,999.9,0,3.1,12,9.9,999.9,83.8,*,76.6,*,0.0,I,999.9,0,0,0,0,0,0
994045,99999,2019,04,08,70.6,9,9999.9,0,1014.7,9,9999.9,0,999.9,0,7.7,9,13.0,999.9,72.0,*,68.2,*,0.0,I,999.9,0,0,0,0,0,0
041600,99999,2019,02,24,33.6,10,9999.9,0,1010.1,10,9999.9,0,999.9,0,18.5,10,28.9,999.9,38.7,,28.8,,0.0,I,999.9,0,0,0,0,0,0
998486,99999,2019,06,15,78.8,15,9999.9,0,1017.6,15,9999.9,0,999.9,0,4.3,15,8.0,999.9,82.8,*,77.2,*,0.0,I,999.9,0,0,0,0,0,0
998491,99999,2019,02,07,69.9,11,9999.9,0,1019.4,11,9999.9,0,999.9,0,0.0,11,999.9,999.9,72.3,*,67.3,*,0.0,I,999.9,0,0,0,0,0,0
917540,99999,2019,07,12,82.2,11,9999.9,0,1011.7,11,1007.6,11,999.9,0,4.4,11,5.6,18.8,85.5,,79.0,,0.0,I,999.9,0,0,0,0,0,0
997290,99999,2019,06,09,62.0,14,9999.9,0,1024.8,14,9999.9,0,999.9,0,4.8,14,8.9,999.9,67.8,*,55.2,*,0.0,I,999.9,0,0,0,0,0,0
997701,99999,2019,07,24,81.5,14,9999.9,0,1014.5,14,9999.9,0,999.9,0,0.0,14,999.9,999.9,83.8,*,77.9,*,0.0,I,999.9,0,0,0,0,0,0
997352,99999,2019,06,17,81.7,12,9999.9,0,1016.2,12,9999.9,0,999.9,0,9.5,12,13.0,999.9,83.7,*,78.6,*,0.0,I,999.9,0,0,0,0,0,0
997312,99999,2019,05,20,78.0,10,9999.9,0,1010.3,10,9999.9,0,999.9,0,7.4,10,9.9,999.9,82.4,*,73.6,*,0.0,I,999.9,0,0,0,0,0,0
869860,99999,2019,05,03,69.3,11,9999.9,0,1011.6,11,963.3,11,999.9,0,4.7,11,9.1,15.2,72.5,,67.5,,0.0,I,999.9,0,0,0,0,0,0
997742,99999,2019,08,23,84.3,10,9999.9,0,1015.7,10,9999.9,0,999.9,0,7.7,10,11.1,999.9,85.1,*,82.6,*,0.0,I,999.9,0,0,0,0,0,0
998482,99999,2019,04,15,66.7,15,9999.9,0,1016.3,15,9999.9,0,999.9,0,0.0,15,999.9,999.9,73.9,*,61.9,*,0.0,I,999.9,0,0,0,0,0,0
997294,99999,2019,04,27,51.2,12,9999.9,0,999.3,12,9999.9,0,999.9,0,10.6,12,14.0,999.9,54.3,*,48.2,*,0.0,I,999.9,0,0,0,0,0,0
711070,99999,2019,04,16,44.8,9,9999.9,0,1003.5,9,992.6,8,999.9,0,24.5,9,28.9,999.9,46.9,,42.3,,0.0,I,999.9,0,0,0,0,0,0
041680,99999,2019,01,22,9.4,16,9999.9,0,992.1,15,9999.9,0,999.9,0,0.7,16,1.9,999.9,13.6,,1.2,,0.0,I,999.9,0,0,0,0,0,0
041680,99999,2019,02,21,32.0,15,9999.9,0,995.1,15,9999.9,0,999.9,0,20.8,15,30.9,999.9,38.3,*,23.9,,0.0,I,999.9,0,0,0,0,0,0
719880,99999,2019,04,23,47.1,14,9999.9,0,1015.1,14,1011.8,14,999.9,0,9.0,14,16.3,999.9,53.2,,39.7,,0.69,G,999.9,0,0,0,0,0,0
997302,99999,2019,04,08,71.7,12,9999.9,0,1009.5,12,9999.9,0,999.9,0,11.7,12,17.1,999.9,79.0,*,55.6,*,0.0,I,999.9,0,0,0,0,0,0
041040,99999,2019,06,12,52.7,15,9999.9,0,1038.0,15,9999.9,0,999.9,0,9.6,15,14.0,999.9,58.3,,49.1,,0.0,I,999.9,0,0,0,0,0,0
998012,99999,2019,01,21,6.8,24,9999.9,0,1033.0,14,9999.9,0,999.9,0,4.4,14,18.1,999.9,18.3,*,-4.0,*,0.0,I,999.9,0,0,0,0,0,0
998012,99999,2019,07,14,76.0,24,9999.9,0,1019.8,15,9999.9,0,999.9,0,4.3,15,12.0,999.9,81.9,*,68.9,*,0.0,I,999.9,0,0,0,0,0,0
943930,99999,2019,05,23,74.2,9,9999.9,0,1018.7,9,1017.2,9,999.9,0,20.8,9,27.0,999.9,75.2,*,71.8,*,0.0,I,999.9,0,0,0,0,0,0
998229,99999,2019,07,28,83.3,11,9999.9,0,1016.3,11,9999.9,0,999.9,0,6.2,11,8.0,999.9,84.2,*,82.2,*,0.0,I,999.9,0,0,0,0,0,0
998264,99999,2019,04,08,68.1,9,9999.9,0,1009.7,9,9999.9,0,999.9,0,0.0,9,999.9,999.9,71.2,*,66.2,*,0.0,I,999.9,0,0,0,0,0,0
998483,99999,2019,06,17,80.0,14,9999.9,0,1011.3,14,9999.9,0,999.9,0,11.6,14,20.0,999.9,83.8,*,74.3,*,0.0,I,999.9,0,0,0,0,0,0
994430,99999,2019,01,09,74.5,11,9999.9,0,1018.7,10,9999.9,0,999.9,0,4.5,11,9.9,999.9,76.1,*,71.4,*,0.0,I,999.9,0,0,0,0,0,0
917540,99999,2019,07,09,77.6,12,9999.9,0,1010.2,12,1005.3,9,999.9,0,4.1,12,11.1,22.7,82.0,,74.5,,0.0,I,999.9,0,0,0,0,0,0
998180,99999,2019,05,23,51.7,14,9999.9,0,1031.3,14,9999.9,0,999.9,0,8.3,14,18.1,999.9,61.3,*,49.6,*,0.0,I,999.9,0,0,0,0,0,0
997688,99999,2019,04,22,58.7,15,9999.9,0,1018.3,15,9999.9,0,999.9,0,5.4,15,8.9,999.9,61.9,*,55.9,*,0.0,I,999.9,0,0,0,0,0,0
071340,99999,2019,07,26,63.5,20,9999.9,0,1012.7,9,1001.0,9,8.4,20,4.6,20,8.9,999.9,91.8,,33.8,*,0.04,G,999.9,0,1,0,0,0,0
997729,99999,2019,06,17,79.6,12,9999.9,0,1011.3,12,9999.9,0,999.9,0,9.5,12,22.0,999.9,82.2,*,74.3,*,0.0,I,999.9,0,0,0,0,0,0
997787,99999,2019,02,05,32.2,24,9999.9,0,1017.9,15,9999.9,0,999.9,0,6.2,15,8.9,999.9,37.9,*,28.9,*,0.0,I,999.9,0,0,0,0,0,0
998166,99999,2019,01,30,5.6,24,9999.9,0,1014.0,15,9999.9,0,999.9,0,25.4,15,36.9,999.9,15.4,*,-1.8,*,0.0,I,999.9,0,0,0,0,0,0
041680,99999,2019,06,05,29.9,12,9999.9,0,1015.7,12,9999.9,0,999.9,0,17.7,12,22.9,999.9,38.1,,26.8,,0.0,I,999.9,0,0,0,0,0,0
997802,99999,2019,01,26,11.1,15,9999.9,0,1018.6,15,9999.9,0,999.9,0,11.3,15,20.0,999.9,16.3,*,7.0,*,0.0,I,999.9,0,0,0,0,0,0
041040,99999,2019,06,21,45.2,9,9999.9,0,1009.8,9,9999.9,0,999.9,0,8.8,9,11.1,999.9,48.6,,43.3,,0.0,I,999.9,0,0,0,0,0,0
997732,99999,2019,01,02,19.1,9,9999.9,0,1013.2,9,9999.9,0,999.9,0,4.0,9,6.0,999.9,23.5,*,9.9,*,0.0,I,999.9,0,0,0,0,0,0
997354,99999,2019,06,15,75.4,15,9999.9,0,1020.5,15,9999.9,0,999.9,0,2.3,15,7.0,999.9,81.5,*,73.2,*,0.0,I,999.9,0,0,0,0,0,0
994042,99999,2019,06,19,83.7,15,9999.9,0,1018.2,15,9999.9,0,999.9,0,0.0,15,999.9,999.9,85.8,*,80.6,*,0.0,I,999.9,0,0,0,0,0,0
997382,99999,2019,06,17,55.6,11,9999.9,0,1004.3,11,9999.9,0,999.9,0,6.7,11,12.0,999.9,64.2,*,49.6,*,0.0,I,999.9,0,0,0,0,0,0
819940,99999,2019,07,12,75.7,10,9999.9,0,1015.7,10,1013.3,10,999.9,0,1.9,10,8.7,22.3,80.6,,73.2,,0.0,I,999.9,0,0,0,0,0,0
997353,99999,2019,06,15,78.3,15,9999.9,0,1019.3,15,9999.9,0,999.9,0,5.6,15,8.0,999.9,83.5,*,75.0,*,0.0,I,999.9,0,0,0,0,0,0
997345,99999,2019,06,19,81.1,14,9999.9,0,1016.2,14,9999.9,0,999.9,0,11.1,14,21.0,999.9,83.8,*,74.7,*,0.0,I,999.9,0,0,0,0,0,0
041680,99999,2019,08,13,38.5,10,9999.9,0,1009.1,10,9999.9,0,999.9,0,14.8,10,18.1,999.9,41.2,,35.6,,0.0,I,999.9,0,0,0,0,0,0
028000,99999,2019,07,20,61.5,12,9999.9,0,1015.0,12,1012.3,12,999.9,0,999.9,0,999.9,999.9,65.1,,59.2,,0.0,I,999.9,0,0,0,0,0,0
041040,99999,2019,06,02,41.2,11,9999.9,0,1015.2,11,9999.9,0,999.9,0,18.7,11,22.9,999.9,44.6,,37.2,,0.0,I,999.9,0,0,0,0,0,0
